"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
20,20.0003986358643
24.7798074188418,24.78489112854
30.7019427857444,30.770637512207
38.0394114807523,38.0408325195312
47.1304645409561,47.1339797973633
58.3941917442723,58.3947219848633
72.3498412900995,72.3502044677734
89.6407566976218,89.6407699584961
111.064034392316,111.0498046875
137.607269170061,137.614776611328
170.494081473342,170.488143920898
211.240525248087,211.233016967773
261.724976735129,261.717193603516
324.274726009868,324.274200439453
401.773263066111,401.771881103516
497.793204240895,497.823364257812
616.760986774879,616.778991699219
764.160923786817,764.089599609375
946.78802642208,956.833923339844
1173.06124806022,1115.65478515625
1453.41159087193,918.281677246094
1800.76296610594,939.536987304687
2231.12797535438,1062.13793945312
2764.3460778036,1398.3525390625
3424.9981723502,2008.47583007812
4243.53975603616,1352.47741699219
5257.70489643875,1003.40063476562
6514.24573994269,1170.11767578125
8071.08774573953,2924.880859375
9999.99999999999,828.601196289062

"Sweep - Function 2" 
"Vac vs Frequency"
"X (Hz)","Ch-1 (dBr)"
20,0.124300618656809
24.7798074188418,0.109862547707477
30.7019427857444,-0.2159440172742
38.0394114807523,-0.867043125665025
47.1304645409561,-1.40132430569205
58.3941917442723,-1.92260876686144
72.3498412900995,-1.92952596777613
89.6407566976218,-1.63712038106329
111.064034392316,-1.0199660845013
137.607269170061,-0.498667443573675
170.494081473342,-0.855951012339995
211.240525248087,-2.01661700903685
261.724976735129,-2.84412572029794
324.274726009868,-3.218632805533
401.773263066111,-4.99701160907582
497.793204240895,-7.24729291664692
616.760986774879,-11.2364333406849
764.160923786817,-17.9120425421234
946.78802642208,-31.6409480475164
1173.06124806022,-41.5749343892224
1453.41159087193,-41.6608088537563
1800.76296610594,-42.6635339181203
2231.12797535438,-43.3710103798703
2764.3460778036,-42.3320646650482
3424.9981723502,-42.0141626793057
4243.53975603616,-43.1877218834533
5257.70489643875,-43.7774419818927
6514.24573994269,-43.4456616206232
8071.08774573953,-42.549079976294
9999.99999999999,-44.2272610512344

